date,djc,djct,dji,djit,djt,djtt,dju,djut
19NOV2001,2848.01,4199.59,9976.46,14406.97,2532.52,3148.45,288.62,642.36
20NOV2001,2831.57,4176.98,9901.38,14306.99,2489.44,3095.49,292.17,650.26
21NOV2001,2808.57,4144.17,9834.68,14210.61,2485.6,3090.71,286.47,638.45
23NOV2001,2846.71,4200.45,9959.71,14391.27,2534.9,3152.02,289.14,644.4
26NOV2001,2844.81,4197.65,9982.75,14424.57,2525.85,3140.77,287.21,640.1
27NOV2001,2824.43,4167.56,9872.6,14265.4,2509.3,3120.19,288.43,642.83
28NOV2001,2768.78,4085.85,9711.86,14035.4,2457.95,3056.34,279.95,623.93
29NOV2001,2797.07,4128.39,9829.42,14209.85,2485.6,3090.71,280.84,625.9
30NOV2001,2807.51,4143.8,9851.56,14241.86,2511.78,3123.27,281.03,626.33
03DEC2001,2784.1,4109.24,9763.96,14115.23,2483.06,3087.59,280.07,624.19
04DEC2001,2826.38,4171.65,9893.84,14302.98,2534.85,3151.99,284.19,633.37
05DEC2001,2884.45,4260.33,10114.29,14627.41,2612.49,3248.52,285.54,637.87
06DEC2001,2874.82,4246.11,10099.14,14605.49,2619.4,3257.12,281.16,628.09
07DEC2001,2877.91,4250.66,10049.46,14533.64,2628.26,3268.13,285.82,638.49
10DEC2001,2841.35,4197.22,9921.45,14348.51,2599.1,3233.8,281.72,629.33
11DEC2001,2819.63,4165.12,9888.37,14300.68,2586.59,3218.23,275.1,614.54
12DEC2001,2823.95,4172.38,9894.81,14309.99,2580.28,3212.25,277.47,620.11
13DEC2001,2800.13,4137.18,9766.45,14124.36,2554.03,3179.57,279.43,624.48
14DEC2001,2810.55,4152.58,9811.15,14189,2577.1,3208.29,278.15,621.63
17DEC2001,2828.27,4178.9,9891.97,14306.69,2619.06,3260.53,275.25,615.15
18DEC2001,2864.04,4231.76,9998.39,14460.61,2657.27,3308.09,279.7,625.08
19DEC2001,2890.85,4271.65,10070.49,14565.59,2644.61,3292.9,288.59,644.96
20DEC2001,2861.52,4229.29,9985.18,14447.95,2602.85,3240.9,286.03,639.23
21DEC2001,2867.82,4238.6,10035.34,14520.54,2605.23,3243.87,284.69,636.24
24DEC2001,2872.11,4244.95,10035.34,14520.54,2605.57,3244.3,286.8,640.96
26DEC2001,2892.8,4275.53,10088.14,14596.93,2630.22,3274.99,289.8,647.67
27DEC2001,2907.79,4298.06,10131.31,14661.59,2637.25,3283.74,292.86,654.49
28DEC2001,2913.4,4306.35,10136.99,14669.8,2643.05,3290.96,294.5,658.16
31DEC2001,2892.22,4275.04,10021.5,14502.68,2639.99,3287.15,293.94,656.9
02JAN2002,2903.73,4292.78,10073.4,14582,2619.98,3262.24,297.74,665.39
03JAN2002,2942.81,4350.55,10172.14,14724.94,2727.5,3396.11,296.22,662
04JAN2002,2977.82,4402.3,10259.74,14851.75,2830.2,3523.99,294.17,657.42
07JAN2002,2969.42,4389.89,10197.05,14761,2821.39,3513.02,296.27,662.11
08JAN2002,2954.09,4367.66,10150.55,14696.24,2823.34,3515.44,292.25,653.14
09JAN2002,2932.25,4335.36,10094.09,14614.49,2775.15,3455.44,291.79,652.1
10JAN2002,2928.18,4329.35,10067.86,14576.53,2764.78,3442.54,293.19,655.23
11JAN2002,2896.01,4281.79,9987.53,14460.22,2706.77,3370.3,290.72,649.72
14JAN2002,2875.6,4251.61,9891.42,14321.06,2662.43,3315.08,293.84,656.69
15JAN2002,2888.68,4270.95,9924.15,14368.45,2686.08,3344.54,294.83,658.9
16JAN2002,2839.37,4198.69,9712.27,14065.42,2636.34,3282.6,293.83,656.65
17JAN2002,2863.52,4235,9850.04,14268.49,2674.89,3330.6,289.78,647.6
18JAN2002,2849.15,4213.75,9771.85,14155.23,2667.25,3321.09,290.04,648.2
22JAN2002,2831,4186.91,9713.8,14071.14,2659.7,3311.69,286.72,640.77
23JAN2002,2858.77,4227.98,9730.96,14095.99,2755.63,3431.14,287.76,643.09
24JAN2002,2870.51,4245.33,9796.07,14190.31,2747.21,3420.66,289.18,646.27
25JAN2002,2885.82,4267.98,9840.08,14254.06,2779.92,3461.38,289.26,646.45
28JAN2002,2895.06,4281.64,9865.75,14291.25,2804.84,3492.41,288.77,645.35
29JAN2002,2822.99,4175.54,9618.24,13932.72,2738.65,3409.99,281.3,629.04
30JAN2002,2852.88,4219.86,9762.86,14142.2,2762.11,3439.57,281.36,629.15
31JAN2002,2896.38,4285.06,9920,14371.46,2797.83,3484.06,285.71,639.34
01FEB2002,2889.65,4275.11,9907.26,14353.01,2759.33,3436.11,288,644.45
04FEB2002,2835.21,4194.6,9687.09,14034.04,2711.24,3376.38,284.92,637.56
05FEB2002,2826.09,4181.79,9685.43,14031.83,2702.43,3365.41,281.54,630.49
06FEB2002,2794.59,4136.97,9653.39,13990.02,2621.98,3265.21,278.04,623.41
07FEB2002,2787.12,4126.31,9625.44,13951.8,2604.6,3243.57,278.71,624.92
08FEB2002,2819.41,4174.11,9744.24,14124.01,2659.94,3312.49,278.33,624.06
11FEB2002,2862.82,4239.34,9884.78,14327.71,2723.66,3391.84,280.69,630.1
12FEB2002,2864.44,4242.13,9863.74,14297.22,2730.76,3402.05,282.42,633.98
13FEB2002,2884.34,4275,9989.67,14490.89,2711.59,3379.07,284.12,638.73
14FEB2002,2876.91,4265,10001.99,14510.56,2686.57,3348.13,282.35,635.23
15FEB2002,2854,4231.36,9903.04,14368.88,2684.23,3345.22,279.45,628.7
19FEB2002,2816.23,4175.37,9745.14,14139.77,2672.4,3330.48,275.18,619.09
20FEB2002,2854.87,4234.42,9941.17,14433.11,2697.13,3362.21,275.15,619.03
21FEB2002,2838.1,4209.72,9834.68,14278.5,2714.21,3384.12,273.64,615.63
22FEB2002,2868.51,4254.83,9968.15,14472.29,2725.65,3398.38,276.32,621.66
25FEB2002,2909.22,4315.21,10145.71,14730.07,2777.39,3462.89,275.66,620.18
26FEB2002,2916.27,4325.68,10115.26,14685.87,2808.3,3501.43,278.06,625.58
27FEB2002,2934.18,4353.67,10127.58,14705.56,2861.06,3567.24,279.71,630.13
28FEB2002,2918.53,4330.45,10106.13,14674.41,2810.93,3504.73,279.64,629.99
01MAR2002,2991.81,4439.18,10368.86,15055.91,2897.13,3612.21,284.05,639.91
04MAR2002,3074.06,4561.36,10586.82,15373.21,3049.96,3802.76,288.76,650.53
05MAR2002,3040.3,4511.27,10433.41,15150.45,2980.6,3716.28,292.98,660.03
06MAR2002,3081.95,4576.22,10574.29,15358.59,3014.53,3760.55,297.99,672.83
07MAR2002,3078.56,4571.4,10525.37,15287.54,3020.27,3768.44,299.71,676.72
08MAR2002,3082.5,4577.25,10572.49,15355.98,3010.24,3755.93,298.93,674.95
11MAR2002,3093.84,4594.43,10611.24,15412.26,3017.06,3765.65,300.54,678.61
12MAR2002,3085.51,4582.15,10632.35,15443.41,2994.81,3737.89,297.25,671.18
13MAR2002,3047.2,4526.92,10501.85,15261.61,2949.84,3681.76,294.36,664.91
14MAR2002,3051.27,4532.96,10517.14,15283.83,2950.91,3683.09,294.99,666.33
15MAR2002,3068.37,4558.37,10607.23,15414.76,2951.54,3683.88,295.93,668.45
18MAR2002,3067.63,4557.27,10577.75,15371.92,2947.89,3679.33,298.47,674.18
19MAR2002,3074.53,4567.52,10635.25,15455.48,2930.64,3657.79,299.16,675.74
20MAR2002,3040.61,4517.42,10501.57,15261.95,2894.11,3612.76,297.73,672.52
21MAR2002,3042.19,4519.76,10479.84,15230.38,2852.98,3561.42,305.24,689.49
22MAR2002,3038.42,4514.17,10427.67,15154.56,2877.27,3591.74,304.84,688.57
25MAR2002,2997.55,4453.44,10281.67,14942.37,2817.23,3516.79,303.76,686.13
26MAR2002,3020.3,4487.3,10353.36,15046.93,2875.37,3589.36,302.22,682.65
27MAR2002,3046.25,4525.86,10426.91,15153.83,2906.67,3628.43,305.32,689.66
28MAR2002,3045.92,4525.36,10403.94,15120.45,2917.96,3642.53,305.73,690.59
01APR2002,3024.07,4492.91,10362.7,15060.51,2867.58,3579.64,304.25,687.25
02APR2002,2999.72,4456.73,10313.71,14989.31,2790.19,3483.04,305.38,689.8
03APR2002,2967.5,4409.57,10198.29,14825.75,2747.31,3429.51,304.03,686.75
04APR2002,2985.47,4436.28,10235.17,14879.37,2783.62,3474.83,305.62,690.33
05APR2002,2987.14,4438.76,10271.64,14932.38,2778.41,3468.33,304.01,686.71
08APR2002,2978.7,4426.68,10249.08,14902.3,2753.3,3436.98,304.67,688.19
09APR2002,2971.49,4415.96,10208.67,14843.54,2767.96,3455.28,302.7,683.73
10APR2002,3027.22,4498.79,10381.73,15095.16,2843.44,3549.51,307.11,693.71
11APR2002,2971.25,4415.61,10176.08,14796.15,2792.29,3485.65,302.41,683.09
12APR2002,2993.85,4449.19,10190.82,14817.58,2875.03,3588.94,302.63,683.59
